log_message,label
мая 14 21:20:41 strangecodder-laptop kernel: watchdog: watchdog0: watchdog did not stop!,0
мая 14 21:29:50 strangecodder-laptop systemd-coredump[3642]: Process 1085 (pulseaudio) of user 1000 dumped core.,0
"мая 14 22:12:29 strangecodder-laptop kded5[792]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:12:30 strangecodder-laptop dolphin[2669]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:12:30 strangecodder-laptop plasmashell[868]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:12:37 strangecodder-laptop kded5[792]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:12:45 strangecodder-laptop dolphin[2669]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:12:46 strangecodder-laptop plasmashell[868]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:12:51 strangecodder-laptop kded5[792]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:12:54 strangecodder-laptop kded5[792]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:12:58 strangecodder-laptop kded5[792]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:13:00 strangecodder-laptop dolphin[2669]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:13:01 strangecodder-laptop dolphin[2669]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:13:01 strangecodder-laptop plasmashell[868]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:13:05 strangecodder-laptop plasmashell[868]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:13:12 strangecodder-laptop plasmashell[868]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
"мая 14 22:13:47 strangecodder-laptop kded5[792]: ""applications.menu""  not found in  (""/etc/xdg/menus"")",0
мая 14 22:13:55 strangecodder-laptop kernel: watchdog: watchdog0: watchdog did not stop!,0
мая 15 15:39:28 strangecodder-laptop systemd-coredump[8432]: Process 8425 (full-line-infer) of user 1000 dumped core.,0
мая 15 15:40:28 strangecodder-laptop systemd-coredump[8690]: Process 8683 (full-line-infer) of user 1000 dumped core.,0
мая 15 15:41:29 strangecodder-laptop systemd-coredump[8830]: Process 8823 (full-line-infer) of user 1000 dumped core.,0
мая 15 15:42:29 strangecodder-laptop systemd-coredump[8916]: Process 8909 (full-line-infer) of user 1000 dumped core.,0
мая 15 15:43:29 strangecodder-laptop systemd-coredump[9016]: Process 9009 (full-line-infer) of user 1000 dumped core.,0
мая 15 15:44:29 strangecodder-laptop systemd-coredump[9065]: Process 9058 (full-line-infer) of user 1000 dumped core.,0
мая 15 15:45:30 strangecodder-laptop systemd-coredump[9090]: Process 9083 (full-line-infer) of user 1000 dumped core.,0
мая 15 15:46:31 strangecodder-laptop systemd-coredump[9205]: Process 9198 (full-line-infer) of user 1000 dumped core.,0
мая 15 21:04:29 strangecodder-laptop systemd-coredump[12121]: Process 1088 (pulseaudio) of user 1000 dumped core.,0
мая 15 21:47:27 strangecodder-laptop systemd-coredump[16848]: Process 16841 (full-line-infer) of user 1000 dumped core.,0
мая 15 21:52:44 strangecodder-laptop systemd-coredump[17684]: Process 17677 (full-line-infer) of user 1000 dumped core.,0
мая 15 21:53:44 strangecodder-laptop systemd-coredump[17746]: Process 17739 (full-line-infer) of user 1000 dumped core.,0
мая 15 21:54:45 strangecodder-laptop systemd-coredump[17941]: Process 17933 (full-line-infer) of user 1000 dumped core.,0
мая 15 21:55:46 strangecodder-laptop systemd-coredump[18144]: Process 18137 (full-line-infer) of user 1000 dumped core.,0
мая 15 21:56:46 strangecodder-laptop systemd-coredump[18340]: Process 18332 (full-line-infer) of user 1000 dumped core.,0
мая 15 21:57:46 strangecodder-laptop systemd-coredump[18661]: Process 18649 (full-line-infer) of user 1000 dumped core.,0
мая 15 21:58:48 strangecodder-laptop systemd-coredump[18765]: Process 18758 (full-line-infer) of user 1000 dumped core.,0
мая 15 21:59:47 strangecodder-laptop systemd-coredump[18805]: Process 18798 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:00:49 strangecodder-laptop systemd-coredump[19027]: Process 19011 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:01:50 strangecodder-laptop systemd-coredump[19211]: Process 19204 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:02:50 strangecodder-laptop systemd-coredump[19372]: Process 19365 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:03:51 strangecodder-laptop systemd-coredump[19546]: Process 19539 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:04:51 strangecodder-laptop systemd-coredump[19736]: Process 19729 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:05:52 strangecodder-laptop systemd-coredump[19845]: Process 19838 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:06:39 strangecodder-laptop sudo[20010]: pam_unix(sudo:auth): auth could not identify password for [strangecodder],0
мая 15 22:06:53 strangecodder-laptop systemd-coredump[20025]: Process 20017 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:07:54 strangecodder-laptop systemd-coredump[20272]: Process 20264 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:08:54 strangecodder-laptop systemd-coredump[20374]: Process 20367 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:09:56 strangecodder-laptop systemd-coredump[20498]: Process 20474 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:10:57 strangecodder-laptop systemd-coredump[20664]: Process 20657 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:11:58 strangecodder-laptop systemd-coredump[20851]: Process 20844 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:12:57 strangecodder-laptop systemd-coredump[20915]: Process 20908 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:13:59 strangecodder-laptop systemd-coredump[20987]: Process 20979 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:14:59 strangecodder-laptop systemd-coredump[21143]: Process 21135 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:15:59 strangecodder-laptop systemd-coredump[21417]: Process 21410 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:17:00 strangecodder-laptop systemd-coredump[21587]: Process 21580 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:18:01 strangecodder-laptop systemd-coredump[21696]: Process 21689 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:19:01 strangecodder-laptop systemd-coredump[22095]: Process 22087 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:20:01 strangecodder-laptop systemd-coredump[22330]: Process 22323 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:21:03 strangecodder-laptop systemd-coredump[22670]: Process 22653 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:22:06 strangecodder-laptop systemd-coredump[23174]: Process 23166 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:23:07 strangecodder-laptop systemd-coredump[23698]: Process 23691 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:24:08 strangecodder-laptop systemd-coredump[24174]: Process 24167 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:25:10 strangecodder-laptop systemd-coredump[24263]: Process 24256 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:26:11 strangecodder-laptop systemd-coredump[24468]: Process 24460 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:27:13 strangecodder-laptop systemd-coredump[24706]: Process 24699 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:28:14 strangecodder-laptop systemd-coredump[24909]: Process 24902 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:29:15 strangecodder-laptop systemd-coredump[25052]: Process 25043 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:38:06 strangecodder-laptop systemd-coredump[26383]: Process 26373 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:49:38 strangecodder-laptop systemd-coredump[27769]: Process 27762 (full-line-infer) of user 1000 dumped core.,0
мая 15 22:50:38 strangecodder-laptop systemd-coredump[27948]: Process 27928 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:18:34 strangecodder-laptop systemd-coredump[35554]: Process 35547 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:19:34 strangecodder-laptop systemd-coredump[35724]: Process 35717 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:20:33 strangecodder-laptop systemd-coredump[35742]: Process 35735 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:21:33 strangecodder-laptop systemd-coredump[35880]: Process 35873 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:22:34 strangecodder-laptop systemd-coredump[36135]: Process 36128 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:23:38 strangecodder-laptop systemd-coredump[36391]: Process 36384 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:24:35 strangecodder-laptop systemd-coredump[36601]: Process 36594 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:25:35 strangecodder-laptop systemd-coredump[36630]: Process 36623 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:26:36 strangecodder-laptop systemd-coredump[36698]: Process 36686 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:27:36 strangecodder-laptop systemd-coredump[36770]: Process 36763 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:28:37 strangecodder-laptop systemd-coredump[36981]: Process 36974 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:29:37 strangecodder-laptop systemd-coredump[37263]: Process 37256 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:30:39 strangecodder-laptop systemd-coredump[37437]: Process 37430 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:31:38 strangecodder-laptop systemd-coredump[37493]: Process 37486 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:32:39 strangecodder-laptop systemd-coredump[37708]: Process 37701 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:33:40 strangecodder-laptop systemd-coredump[37784]: Process 37777 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:34:41 strangecodder-laptop systemd-coredump[37942]: Process 37935 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:35:41 strangecodder-laptop systemd-coredump[38199]: Process 38192 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:36:40 strangecodder-laptop systemd-coredump[38243]: Process 38236 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:37:42 strangecodder-laptop systemd-coredump[38300]: Process 38293 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:38:42 strangecodder-laptop systemd-coredump[38596]: Process 38589 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:39:43 strangecodder-laptop systemd-coredump[38613]: Process 38606 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:41:56 strangecodder-laptop systemd-coredump[2346]: Process 2339 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:42:57 strangecodder-laptop systemd-coredump[2490]: Process 2483 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:43:57 strangecodder-laptop systemd-coredump[2647]: Process 2640 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:44:57 strangecodder-laptop systemd-coredump[3239]: Process 3228 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:45:58 strangecodder-laptop systemd-coredump[3414]: Process 3407 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:46:58 strangecodder-laptop systemd-coredump[3666]: Process 3659 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:47:58 strangecodder-laptop systemd-coredump[3811]: Process 3802 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:48:58 strangecodder-laptop systemd-coredump[3862]: Process 3855 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:49:58 strangecodder-laptop systemd-coredump[4084]: Process 4077 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:50:58 strangecodder-laptop systemd-coredump[4253]: Process 4246 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:51:58 strangecodder-laptop systemd-coredump[4409]: Process 4402 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:52:58 strangecodder-laptop systemd-coredump[4443]: Process 4436 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:53:58 strangecodder-laptop systemd-coredump[4655]: Process 4648 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:54:59 strangecodder-laptop systemd-coredump[4949]: Process 4942 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:55:59 strangecodder-laptop systemd-coredump[5124]: Process 5117 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:56:59 strangecodder-laptop systemd-coredump[5148]: Process 5141 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:57:59 strangecodder-laptop systemd-coredump[5299]: Process 5292 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:58:59 strangecodder-laptop systemd-coredump[5555]: Process 5548 (full-line-infer) of user 1000 dumped core.,0
мая 16 02:59:59 strangecodder-laptop systemd-coredump[5638]: Process 5631 (full-line-infer) of user 1000 dumped core.,0
мая 16 03:01:00 strangecodder-laptop systemd-coredump[5838]: Process 5831 (full-line-infer) of user 1000 dumped core.,0
мая 16 03:02:00 strangecodder-laptop systemd-coredump[6049]: Process 6038 (full-line-infer) of user 1000 dumped core.,0
мая 16 03:03:00 strangecodder-laptop systemd-coredump[6086]: Process 6079 (full-line-infer) of user 1000 dumped core.,0
мая 16 03:04:00 strangecodder-laptop systemd-coredump[6232]: Process 6222 (full-line-infer) of user 1000 dumped core.,0
мая 16 03:05:00 strangecodder-laptop systemd-coredump[6254]: Process 6247 (full-line-infer) of user 1000 dumped core.,0
мая 17 18:49:09 strangecodder-laptop systemd-coredump[38186]: Process 38179 (full-line-infer) of user 1000 dumped core.,0
мая 17 21:27:51 strangecodder-laptop systemd-coredump[45521]: Process 45505 (full-line-infer) of user 1000 dumped core.,0
мая 17 21:28:50 strangecodder-laptop systemd-coredump[45735]: Process 45728 (full-line-infer) of user 1000 dumped core.,0
мая 17 21:29:53 strangecodder-laptop systemd-coredump[45818]: Process 45811 (full-line-infer) of user 1000 dumped core.,0
мая 17 21:30:53 strangecodder-laptop systemd-coredump[45856]: Process 45849 (full-line-infer) of user 1000 dumped core.,0
мая 17 21:31:54 strangecodder-laptop systemd-coredump[45911]: Process 45902 (full-line-infer) of user 1000 dumped core.,0
мая 17 21:32:55 strangecodder-laptop systemd-coredump[46134]: Process 46127 (full-line-infer) of user 1000 dumped core.,0
мая 17 21:33:59 strangecodder-laptop systemd-coredump[46201]: Process 46194 (full-line-infer) of user 1000 dumped core.,0
мая 17 21:34:58 strangecodder-laptop systemd-coredump[46276]: Process 46269 (full-line-infer) of user 1000 dumped core.,0
мая 18 13:17:23 strangecodder-laptop kernel: watchdog: watchdog0: watchdog did not stop!,0
мая 19 22:52:06 strangecodder-laptop systemd-coredump[13474]: Process 13467 (full-line-infer) of user 1000 dumped core.,0
мая 19 22:53:51 strangecodder-laptop systemd-coredump[13855]: Process 13848 (full-line-infer) of user 1000 dumped core.,0
мая 19 22:54:52 strangecodder-laptop systemd-coredump[14128]: Process 14121 (full-line-infer) of user 1000 dumped core.,0
мая 19 22:55:52 strangecodder-laptop systemd-coredump[14176]: Process 14169 (full-line-infer) of user 1000 dumped core.,0
мая 19 22:56:53 strangecodder-laptop systemd-coredump[14213]: Process 14206 (full-line-infer) of user 1000 dumped core.,0
мая 19 22:57:53 strangecodder-laptop systemd-coredump[14438]: Process 14431 (full-line-infer) of user 1000 dumped core.,0
мая 19 22:58:53 strangecodder-laptop systemd-coredump[14646]: Process 14639 (full-line-infer) of user 1000 dumped core.,0
мая 19 22:59:53 strangecodder-laptop systemd-coredump[14838]: Process 14831 (full-line-infer) of user 1000 dumped core.,0
мая 19 23:00:54 strangecodder-laptop systemd-coredump[15103]: Process 15092 (full-line-infer) of user 1000 dumped core.,0
мая 19 23:01:53 strangecodder-laptop systemd-coredump[15362]: Process 15355 (full-line-infer) of user 1000 dumped core.,0
мая 19 23:02:54 strangecodder-laptop systemd-coredump[15469]: Process 15462 (full-line-infer) of user 1000 dumped core.,0
мая 19 23:03:54 strangecodder-laptop systemd-coredump[15850]: Process 15843 (full-line-infer) of user 1000 dumped core.,0
мая 19 23:04:54 strangecodder-laptop systemd-coredump[15918]: Process 15911 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:03:01 strangecodder-laptop systemd-coredump[2813]: Process 2806 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:04:01 strangecodder-laptop systemd-coredump[2951]: Process 2944 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:05:02 strangecodder-laptop systemd-coredump[3195]: Process 3188 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:06:03 strangecodder-laptop systemd-coredump[3400]: Process 3393 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:07:03 strangecodder-laptop systemd-coredump[3430]: Process 3423 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:08:03 strangecodder-laptop systemd-coredump[3575]: Process 3568 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:09:04 strangecodder-laptop systemd-coredump[3748]: Process 3741 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:10:04 strangecodder-laptop systemd-coredump[3866]: Process 3859 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:11:04 strangecodder-laptop systemd-coredump[3961]: Process 3953 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:12:04 strangecodder-laptop systemd-coredump[4052]: Process 4045 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:13:05 strangecodder-laptop systemd-coredump[4130]: Process 4123 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:14:04 strangecodder-laptop systemd-coredump[4249]: Process 4242 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:14:36 strangecodder-laptop systemd-coredump[4303]: Process 4287 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:39:37 strangecodder-laptop systemd-coredump[6767]: Process 6760 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:40:38 strangecodder-laptop systemd-coredump[6861]: Process 6854 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:41:38 strangecodder-laptop systemd-coredump[6891]: Process 6884 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:42:39 strangecodder-laptop systemd-coredump[6918]: Process 6911 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:43:39 strangecodder-laptop systemd-coredump[6962]: Process 6955 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:44:39 strangecodder-laptop systemd-coredump[7001]: Process 6994 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:45:39 strangecodder-laptop systemd-coredump[7019]: Process 7012 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:46:40 strangecodder-laptop systemd-coredump[7037]: Process 7030 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:47:40 strangecodder-laptop systemd-coredump[7189]: Process 7182 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:48:41 strangecodder-laptop systemd-coredump[7238]: Process 7231 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:49:41 strangecodder-laptop systemd-coredump[7264]: Process 7257 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:50:41 strangecodder-laptop systemd-coredump[7509]: Process 7502 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:51:42 strangecodder-laptop systemd-coredump[7587]: Process 7580 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:52:42 strangecodder-laptop systemd-coredump[7611]: Process 7604 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:53:42 strangecodder-laptop systemd-coredump[7651]: Process 7644 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:54:42 strangecodder-laptop systemd-coredump[7746]: Process 7739 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:55:43 strangecodder-laptop systemd-coredump[7767]: Process 7760 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:56:43 strangecodder-laptop systemd-coredump[8012]: Process 8005 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:57:44 strangecodder-laptop systemd-coredump[8114]: Process 8107 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:58:44 strangecodder-laptop systemd-coredump[8357]: Process 8350 (full-line-infer) of user 1000 dumped core.,0
мая 20 11:59:44 strangecodder-laptop systemd-coredump[8564]: Process 8557 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:16:49 strangecodder-laptop systemd-coredump[8858]: Process 8851 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:17:51 strangecodder-laptop systemd-coredump[9268]: Process 9261 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:18:51 strangecodder-laptop systemd-coredump[9399]: Process 9392 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:19:51 strangecodder-laptop systemd-coredump[9720]: Process 9704 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:20:51 strangecodder-laptop systemd-coredump[9976]: Process 9969 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:21:52 strangecodder-laptop systemd-coredump[10102]: Process 10095 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:22:52 strangecodder-laptop systemd-coredump[10345]: Process 10338 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:23:53 strangecodder-laptop systemd-coredump[10475]: Process 10468 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:24:54 strangecodder-laptop systemd-coredump[10498]: Process 10491 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:25:55 strangecodder-laptop systemd-coredump[10719]: Process 10712 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:26:55 strangecodder-laptop systemd-coredump[10871]: Process 10864 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:27:56 strangecodder-laptop systemd-coredump[11051]: Process 11044 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:28:55 strangecodder-laptop systemd-coredump[11105]: Process 11098 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:29:56 strangecodder-laptop systemd-coredump[11133]: Process 11126 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:30:57 strangecodder-laptop systemd-coredump[11155]: Process 11148 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:31:57 strangecodder-laptop systemd-coredump[11182]: Process 11175 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:32:57 strangecodder-laptop systemd-coredump[11204]: Process 11197 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:33:59 strangecodder-laptop systemd-coredump[11302]: Process 11295 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:34:59 strangecodder-laptop systemd-coredump[11360]: Process 11353 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:35:59 strangecodder-laptop systemd-coredump[11393]: Process 11386 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:37:00 strangecodder-laptop systemd-coredump[11487]: Process 11480 (full-line-infer) of user 1000 dumped core.,0
мая 20 14:38:00 strangecodder-laptop systemd-coredump[11545]: Process 11538 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:43:33 strangecodder-laptop systemd-coredump[11831]: Process 11824 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:44:34 strangecodder-laptop systemd-coredump[12022]: Process 12015 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:45:35 strangecodder-laptop systemd-coredump[12067]: Process 12060 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:46:35 strangecodder-laptop systemd-coredump[12125]: Process 12118 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:47:35 strangecodder-laptop systemd-coredump[12223]: Process 12216 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:48:36 strangecodder-laptop systemd-coredump[12286]: Process 12279 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:49:37 strangecodder-laptop systemd-coredump[12707]: Process 12700 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:54:55 strangecodder-laptop systemd-coredump[13351]: Process 13340 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:55:55 strangecodder-laptop systemd-coredump[13396]: Process 13389 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:56:56 strangecodder-laptop systemd-coredump[13460]: Process 13453 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:57:56 strangecodder-laptop systemd-coredump[13581]: Process 13574 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:58:56 strangecodder-laptop systemd-coredump[13642]: Process 13635 (full-line-infer) of user 1000 dumped core.,0
мая 20 16:59:57 strangecodder-laptop systemd-coredump[13670]: Process 13663 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:00:57 strangecodder-laptop systemd-coredump[13686]: Process 13679 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:01:57 strangecodder-laptop systemd-coredump[13769]: Process 13762 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:02:57 strangecodder-laptop systemd-coredump[13916]: Process 13909 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:03:58 strangecodder-laptop systemd-coredump[13983]: Process 13976 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:04:58 strangecodder-laptop systemd-coredump[14038]: Process 14031 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:05:58 strangecodder-laptop systemd-coredump[14079]: Process 14072 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:06:59 strangecodder-laptop systemd-coredump[14106]: Process 14099 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:07:59 strangecodder-laptop systemd-coredump[14152]: Process 14145 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:08:59 strangecodder-laptop systemd-coredump[14222]: Process 14215 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:10:00 strangecodder-laptop systemd-coredump[14264]: Process 14257 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:11:00 strangecodder-laptop systemd-coredump[14323]: Process 14316 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:12:01 strangecodder-laptop systemd-coredump[14508]: Process 14501 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:13:00 strangecodder-laptop systemd-coredump[14659]: Process 14652 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:14:01 strangecodder-laptop systemd-coredump[14736]: Process 14729 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:15:01 strangecodder-laptop systemd-coredump[14964]: Process 14957 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:16:01 strangecodder-laptop systemd-coredump[15095]: Process 15088 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:17:02 strangecodder-laptop systemd-coredump[15280]: Process 15273 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:18:01 strangecodder-laptop systemd-coredump[15446]: Process 15437 (full-line-infer) of user 1000 dumped core.,0
мая 20 17:19:03 strangecodder-laptop systemd-coredump[15640]: Process 15633 (full-line-infer) of user 1000 dumped core.,0
